date,hour,day_of_week,road_id,road_name,jurisdiction,capacity_vph,inflow_vph,avg_speed_kmh,occupancy_percent,rain_mm,temperature_c,humidity_percent,special_event,congestion_percent
2025-01-01,0,2,RD-01,Wardha Road (NH-44),NMC South,6000,3372,41.1,55.3,0.0,29.0,33.6,0,33.0
2025-01-01,0,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1478,50.7,17.9,0.0,27.1,72.8,0,8.5
2025-01-01,0,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2269,48.8,42.9,0.0,30.2,60.0,0,24.5
2025-01-01,0,2,RD-04,Airport Road,NMC South,5600,3218,42.8,53.9,1.8,35.3,51.3,0,35.3
2025-01-01,0,2,RD-05,Amravati Road,NMC West,7200,1221,50.7,18.5,2.3,32.6,48.7,0,13.3
2025-01-01,0,2,RD-06,Kamptee Road,NMC North,6000,2042,49.9,40.6,0.7,25.5,49.6,0,21.1
2025-01-01,0,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,996,54.9,19.4,6.6,40.6,86.3,0,11.2
2025-01-01,0,2,RD-08,Katol Road,NMC North-West,5400,1704,48.4,28.6,0.0,29.1,81.3,0,13.6
2025-01-01,0,2,RD-09,Koradi Road,NMC North,5600,2085,48.6,33.6,0.0,22.3,48.3,0,20.0
2025-01-01,0,2,RD-10,Manewada Road,NMC South-East,5000,2771,45.8,55.0,0.0,25.2,95.0,0,29.9
2025-01-01,0,2,RD-11,Besa Road,NMC South-East,4600,1804,50.1,40.3,3.4,27.3,84.9,0,19.7
2025-01-01,0,2,RD-12,Ring Road - East,NMRDA Ring,7600,1682,45.0,16.7,0.0,27.2,49.2,0,5.9
2025-01-01,1,2,RD-01,Wardha Road (NH-44),NMC South,6000,3102,40.4,45.8,0.5,36.1,56.3,0,26.5
2025-01-01,1,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1434,52.1,18.3,2.6,26.6,82.9,0,14.1
2025-01-01,1,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2316,51.0,41.2,0.0,18.8,63.7,0,26.2
2025-01-01,1,2,RD-04,Airport Road,NMC South,5600,3271,44.6,60.6,2.6,29.8,78.8,0,39.3
2025-01-01,1,2,RD-05,Amravati Road,NMC West,7200,1157,49.6,18.5,0.7,34.5,57.8,0,6.4
2025-01-01,1,2,RD-06,Kamptee Road,NMC North,6000,1916,42.7,36.5,0.0,36.4,74.7,0,16.9
2025-01-01,1,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1187,53.6,24.6,0.4,28.9,47.8,0,14.9
2025-01-01,1,2,RD-08,Katol Road,NMC North-West,5400,1659,46.5,29.4,0.0,27.0,60.4,0,10.3
2025-01-01,1,2,RD-09,Koradi Road,NMC North,5600,2194,44.9,47.2,1.4,31.0,71.3,0,24.6
2025-01-01,1,2,RD-10,Manewada Road,NMC South-East,5000,2611,46.6,50.2,2.2,31.0,48.8,0,33.0
2025-01-01,1,2,RD-11,Besa Road,NMC South-East,4600,1880,53.8,44.3,0.0,20.9,83.4,0,27.6
2025-01-01,1,2,RD-12,Ring Road - East,NMRDA Ring,7600,1636,49.3,10.3,2.9,25.1,73.3,0,7.6
2025-01-01,2,2,RD-01,Wardha Road (NH-44),NMC South,6000,3288,38.4,50.4,0.5,26.5,73.7,0,30.4
2025-01-01,2,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1478,51.3,18.2,0.4,28.6,64.5,0,13.3
2025-01-01,2,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2269,48.0,46.2,0.0,31.1,71.5,0,23.6
2025-01-01,2,2,RD-04,Airport Road,NMC South,5600,3225,39.7,53.0,0.4,28.3,52.1,0,28.9
2025-01-01,2,2,RD-05,Amravati Road,NMC West,7200,1243,50.2,13.9,0.0,25.8,67.6,0,7.5
2025-01-01,2,2,RD-06,Kamptee Road,NMC North,6000,2194,44.4,38.6,0.0,34.5,85.0,0,24.7
2025-01-01,2,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1129,49.6,20.2,1.4,36.5,95.0,0,13.8
2025-01-01,2,2,RD-08,Katol Road,NMC North-West,5400,1665,49.7,30.0,0.0,22.7,60.1,0,17.4
2025-01-01,2,2,RD-09,Koradi Road,NMC North,5600,2253,49.1,35.9,0.6,23.3,74.5,0,21.1
2025-01-01,2,2,RD-10,Manewada Road,NMC South-East,5000,2557,40.5,47.3,0.0,20.7,71.9,0,27.9
2025-01-01,2,2,RD-11,Besa Road,NMC South-East,4600,1910,48.5,40.0,0.3,30.8,84.9,0,22.5
2025-01-01,2,2,RD-12,Ring Road - East,NMRDA Ring,7600,1590,50.7,16.7,2.6,23.9,79.1,0,16.8
2025-01-01,3,2,RD-01,Wardha Road (NH-44),NMC South,6000,3080,43.6,48.6,2.6,28.7,62.9,0,29.7
2025-01-01,3,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1680,51.9,20.6,0.0,31.6,60.2,0,12.1
2025-01-01,3,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2494,45.7,42.6,0.0,32.3,86.0,0,22.8
2025-01-01,3,2,RD-04,Airport Road,NMC South,5600,3469,41.8,59.7,0.0,26.9,71.4,0,31.9
2025-01-01,3,2,RD-05,Amravati Road,NMC West,7200,1271,52.6,16.0,0.4,31.5,53.0,0,8.3
2025-01-01,3,2,RD-06,Kamptee Road,NMC North,6000,2149,46.4,37.2,0.0,23.7,59.3,0,22.7
2025-01-01,3,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1086,51.1,13.9,0.0,23.0,55.3,0,6.9
2025-01-01,3,2,RD-08,Katol Road,NMC North-West,5400,1563,52.5,28.5,1.0,29.8,68.4,0,9.6
2025-01-01,3,2,RD-09,Koradi Road,NMC North,5600,2142,49.6,43.8,2.8,23.7,82.6,0,22.1
2025-01-01,3,2,RD-10,Manewada Road,NMC South-East,5000,2544,43.9,51.7,0.8,29.0,47.5,0,33.1
2025-01-01,3,2,RD-11,Besa Road,NMC South-East,4600,1812,47.2,38.1,0.0,25.6,69.6,0,21.7
2025-01-01,3,2,RD-12,Ring Road - East,NMRDA Ring,7600,1605,50.8,23.8,4.8,31.6,62.3,0,17.9
2025-01-01,4,2,RD-01,Wardha Road (NH-44),NMC South,6000,3320,40.6,54.6,0.0,19.0,61.7,0,33.4
2025-01-01,4,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1547,51.9,20.6,1.7,33.3,29.5,0,11.1
2025-01-01,4,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2203,47.7,44.3,0.0,28.8,47.9,0,30.6
2025-01-01,4,2,RD-04,Airport Road,NMC South,5600,3286,40.7,58.4,1.1,29.9,87.3,0,39.9
2025-01-01,4,2,RD-05,Amravati Road,NMC West,7200,1269,53.1,19.7,0.0,33.2,54.9,0,13.0
2025-01-01,4,2,RD-06,Kamptee Road,NMC North,6000,1894,49.9,28.4,2.1,25.2,83.8,0,16.7
2025-01-01,4,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1152,50.2,25.1,0.0,30.9,95.0,0,18.1
2025-01-01,4,2,RD-08,Katol Road,NMC North-West,5400,1465,55.8,28.5,0.0,28.5,36.6,0,18.7
2025-01-01,4,2,RD-09,Koradi Road,NMC North,5600,2049,48.3,36.9,0.0,22.2,64.6,0,20.9
2025-01-01,4,2,RD-10,Manewada Road,NMC South-East,5000,2448,44.6,48.5,0.0,24.1,62.1,0,27.6
2025-01-01,4,2,RD-11,Besa Road,NMC South-East,4600,1718,49.3,41.8,0.0,35.7,68.0,0,24.8
2025-01-01,4,2,RD-12,Ring Road - East,NMRDA Ring,7600,1649,50.5,24.9,0.0,22.5,63.8,0,18.2
2025-01-01,5,2,RD-01,Wardha Road (NH-44),NMC South,6000,3364,38.3,56.6,0.0,29.8,47.6,0,33.8
2025-01-01,5,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1537,48.5,14.8,2.4,23.4,67.7,0,10.1
2025-01-01,5,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,1994,46.1,35.0,0.0,22.8,75.7,0,22.2
2025-01-01,5,2,RD-04,Airport Road,NMC South,5600,3150,40.0,57.7,3.9,36.2,72.6,0,37.3
2025-01-01,5,2,RD-05,Amravati Road,NMC West,7200,1472,52.3,20.5,0.0,30.4,75.9,0,13.7
2025-01-01,5,2,RD-06,Kamptee Road,NMC North,6000,1985,50.8,32.0,0.0,23.6,68.3,0,23.4
2025-01-01,5,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1096,57.3,22.9,0.7,30.1,73.5,0,17.5
2025-01-01,5,2,RD-08,Katol Road,NMC North-West,5400,1570,49.1,29.1,2.4,20.7,72.6,0,16.7
2025-01-01,5,2,RD-09,Koradi Road,NMC North,5600,2209,51.6,40.1,0.8,26.2,41.7,0,25.8
2025-01-01,5,2,RD-10,Manewada Road,NMC South-East,5000,2337,45.8,42.3,2.6,22.5,33.9,0,22.7
2025-01-01,5,2,RD-11,Besa Road,NMC South-East,4600,1881,56.4,42.4,0.0,30.1,52.3,0,18.7
2025-01-01,5,2,RD-12,Ring Road - East,NMRDA Ring,7600,1603,53.0,24.7,0.4,38.3,64.5,0,17.5
2025-01-01,6,2,RD-01,Wardha Road (NH-44),NMC South,6000,3304,38.8,54.2,0.9,27.3,57.8,0,31.3
2025-01-01,6,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1449,47.9,14.7,0.5,26.8,74.1,0,9.2
2025-01-01,6,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2211,50.1,46.0,0.5,19.8,75.9,0,24.6
2025-01-01,6,2,RD-04,Airport Road,NMC South,5600,3413,45.1,63.7,0.0,23.1,74.2,0,36.6
2025-01-01,6,2,RD-05,Amravati Road,NMC West,7200,1254,56.9,18.3,2.0,21.4,58.1,0,11.7
2025-01-01,6,2,RD-06,Kamptee Road,NMC North,6000,1968,48.8,36.5,0.0,27.3,50.2,0,23.1
2025-01-01,6,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1139,52.8,19.6,0.0,30.6,72.7,0,9.7
2025-01-01,6,2,RD-08,Katol Road,NMC North-West,5400,1613,49.3,34.0,0.3,25.7,70.1,0,20.1
2025-01-01,6,2,RD-09,Koradi Road,NMC North,5600,2185,46.9,39.0,1.1,24.9,58.7,0,23.2
2025-01-01,6,2,RD-10,Manewada Road,NMC South-East,5000,2656,44.9,48.7,0.0,27.3,54.3,0,25.9
2025-01-01,6,2,RD-11,Besa Road,NMC South-East,4600,1932,47.2,37.7,0.0,16.4,64.8,0,23.8
2025-01-01,6,2,RD-12,Ring Road - East,NMRDA Ring,7600,1661,52.8,21.4,0.0,30.2,51.9,0,11.7
2025-01-01,7,2,RD-01,Wardha Road (NH-44),NMC South,6000,5681,23.3,93.2,0.0,31.3,63.1,1,60.6
2025-01-01,7,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2393,51.6,27.6,0.0,18.3,67.2,0,17.2
2025-01-01,7,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3725,37.9,77.3,0.8,28.7,59.9,0,46.4
2025-01-01,7,2,RD-04,Airport Road,NMC South,5600,5452,34.1,100.8,1.0,19.0,61.8,0,58.3
2025-01-01,7,2,RD-05,Amravati Road,NMC West,7200,1936,50.0,25.5,0.0,29.7,30.5,0,17.0
2025-01-01,7,2,RD-06,Kamptee Road,NMC North,6000,3230,45.4,52.7,0.0,31.4,95.0,0,28.3
2025-01-01,7,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1758,46.4,33.0,0.0,28.8,84.1,0,21.7
2025-01-01,7,2,RD-08,Katol Road,NMC North-West,5400,2463,45.6,46.8,0.0,25.1,91.6,0,25.0
2025-01-01,7,2,RD-09,Koradi Road,NMC North,5600,3197,44.5,60.4,0.3,32.3,57.2,0,36.2
2025-01-01,7,2,RD-10,Manewada Road,NMC South-East,5000,4008,31.2,82.8,3.8,23.8,81.2,0,50.1
2025-01-01,7,2,RD-11,Besa Road,NMC South-East,4600,2775,44.9,58.4,5.0,28.8,47.4,0,30.7
2025-01-01,7,2,RD-12,Ring Road - East,NMRDA Ring,7600,2561,48.0,30.6,4.0,27.0,61.0,0,17.5
